SiteID,ParamName,ParamDescription,variable,Unit,value
10231,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10231,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0
10231,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,1.5
10231,LFP length,Length of longest flow path,LFPLENGTH,miles,30.1
10231,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-107.40804
10231,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,8170
10231,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,8172
10231,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,23.62
10231,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,68.03
10231,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.42
10231,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,5.63
10231,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,18.6
10231,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,70.1
10231,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,3.27
10231,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,29.75
10231,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0.1
10231,Time of concentration in hours,Time of concentration in hours,TOC,hours,7.99
10232,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,15
10232,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,138.8
10232,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,27.1
10232,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,99
10232,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,9172
10232,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,11100
10232,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,2.57
10232,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.21
10232,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,1.72
10232,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,0.76
10232,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.446545
10232,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,0
10232,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0
10232,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0.3
10232,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,51.3
10232,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,12.9
10232,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,2.8
10232,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,33.3
10232,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10232,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0
10232,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,0.2
10232,LFP length,Length of longest flow path,LFPLENGTH,miles,17.7
10232,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-107.344219
10232,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,7470
10232,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,7470
10232,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,16.64
10232,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,75.26
10232,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.4
10232,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,0
10232,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,0
10232,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,94
10232,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,5.95
10232,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,35.62
10232,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0.1
10232,Time of concentration in hours,Time of concentration in hours,TOC,hours,5.93
10240,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,41
10240,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,52.2
10240,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,371
10240,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10240,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,10736
10240,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,14200
10240,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.27
10240,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.54
10240,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,2.11
10240,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,0.89
10240,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.351785
10240,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,13.6
10240,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0.2
10240,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0.5
10240,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,52.3
10240,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,24.7
10240,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,1.5
10240,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,6.8
10240,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10240,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0.2
10240,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,1.3
10240,LFP length,Length of longest flow path,LFPLENGTH,miles,56.6
10240,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-107.236574
10240,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,7650
10240,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,7649
10240,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,27.05
10240,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,71.93
10240,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.38
10240,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,6.35
10240,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,19.3
10240,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,32
10240,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,36.8
10240,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,23.11
10240,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0.2
10240,Time of concentration in hours,Time of concentration in hours,TOC,hours,10
10267A,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,54
10267A,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,413.6
10267A,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,9.44
10267A,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10267A,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,10737
10267A,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,13000
10267A,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.44
10267A,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.65
10267A,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,1.94
10267A,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,0.95
10267A,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.695609
10267A,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,12.7
10267A,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0
10267A,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0
10267A,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,60.4
10267A,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,22.6
10267A,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,0.2
10267A,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,0
10267A,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10267A,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0
10267A,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,2.3
10267A,LFP length,Length of longest flow path,LFPLENGTH,miles,7.65
10267A,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-107.071333
10267A,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,8980
10267A,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,8977
10267A,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,29.45
10267A,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,74.16
10267A,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.4
10267A,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,0
10267A,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,20
10267A,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,19.3
10267A,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,56.9
10267A,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,14.64
10267A,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0
10267A,Time of concentration in hours,Time of concentration in hours,TOC,hours,1.65
10268B,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,34
10268B,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,470
10268B,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,7.96
10268B,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10268B,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,10205
10268B,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,12100
10268B,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.51
10268B,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.66
10268B,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,1.81
10268B,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,0.92
10268B,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.795782
10268B,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,3.9
10268B,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0
10268B,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0
10268B,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,77.2
10268B,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,16.4
10268B,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,1.2
10268B,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,0.1
10268B,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10268B,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0
10268B,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,1.1
10268B,LFP length,Length of longest flow path,LFPLENGTH,miles,5.32
10268B,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-107.087817
10268B,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,8910
10268B,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,8909
10268B,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,32.14
10268B,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,64.74
10268B,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.44
10268B,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,10.2
10268B,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,41.9
10268B,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,4.63
10268B,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,38.3
10268B,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,27.15
10268B,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0.1
10268B,Time of concentration in hours,Time of concentration in hours,TOC,hours,2.01
10283,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,28
10283,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,120
10283,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,171
10283,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10283,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,11051
10283,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,14000
10283,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,3.17
10283,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.55
10283,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,2.17
10283,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,0.91
10283,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.10675
10283,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,5.8
10283,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0.3
10283,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0.5
10283,LC11FOREST,Percentage of forest from NLCD 2011 classes 41-43,LC11FOREST,percent,56.5
10283,LC11GRASS,Percent of area covered by grassland/herbaceous using 2011 NLCD,LC11GRASS,percent,31.9
10283,Percent_Impervious_NLCD2011,Average percentage of impervious area determined from NLCD 2011 impervious dataset,LC11IMP,percent,0.8
10283,LC11SHRUB,Percent of area covered by shrubland using 2011 NLCD,LC11SHRUB,percent,0.3
10283,Percent snow and ice from NLCD 2011 class 12,Percent snow and ice from NLCD 2011 class 12,LC11SNOIC,percent,0
10283,LC11WATER,"Percent of open water, class 11, from NLCD 2011",LC11WATER,percent,0.1
10283,LC11WETLND,"Percentage of wetlands, classes 90 and 95,  from NLCD 2011",LC11WETLND,percent,4.4
10283,LFP length,Length of longest flow path,LFPLENGTH,miles,24.4
10283,Longitude of Basin Outlet,Longitude of Basin Outlet,LONG_OUT,degrees,-107.034974
10283,Minimum Basin Elevation,Minimum basin elevation,MINBELEV,feet,8820
10283,Elevation of Gage,Elevation of the stream outlet in feet above NAVD88,OUTLETELEV,feet,8824
10283,Mean Annual Precipitation,Mean Annual Precipitation,PRECIP,inches,25.15
10283,Runoff-Curve Number,Runoff-curve number as defined by NRCS (http://policy.nrcs.usda.gov/OpenNonWebContent.aspx?content=17758.wba),RCN,dimensionless,64.07
10283,Soil Runoff Coefficient,Soil runoff coefficient as defined by Verdin and Gross (2017),RUNCO_CO,dimensionless,0.38
10283,SSURGO Percent Hydrologic Soil Type A,Percentage of area of Hydrologic Soil Type A from SSURGO,SSURGOA,percent,17.1
10283,SSURGO Percent Hydrologic Soil Type B,Percentage of area of Hydrologic Soil Type B from SSURGO,SSURGOB,percent,17.1
10283,SSURGO Percent Hydrologic Soil Type C,Percentage of area of Hydrologic Soil Type C from SSURGO,SSURGOC,percent,44.9
10283,SSURGO Percent Hydrologic Soil Type D,Percentage of area of Hydrologic Soil Type D from SSURGO,SSURGOD,percent,20.2
10283,STATSGO Percentage of Clay Soils,Percentage of clay soils from STATSGO,STATSCLAY,percent,24.27
10283,Percent Storage from NHD,Percent storage (wetlands and waterbodies) determined from 1:24K NHD,STORNHD,percent,0.1
10283,Time of concentration in hours,Time of concentration in hours,TOC,hours,7.62
10322,Mean Basin Slope from 10m DEM,Mean basin slope computed from 10 m DEM,BSLDEM10M,percent,19
10322,Stream Slope 10 and 85 Longest Flow Path,"Change in elevation divided by length between points 10 and 85 percent of distance along the longest flow path to the basin divide, LFP from 2D grid",CSL1085LFP,feet per mi,57.5
10322,Drainage Area,Area that drains to a point on a stream,DRNAREA,square miles,379
10322,Percent above 7500 ft,Percent of area above 7500 ft,EL7500,percent,100
10322,Mean Basin Elevation,Mean Basin Elevation,ELEV,feet,10045
10322,Maximum Basin Elevation,Maximum basin elevation,ELEVMAX,feet,14000
10322,24 Hour 100 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 100 years,I24H100Y,inches,2.76
10322,24 Hour 2 Year Precipitation,Maximum 24-hour precipitation that occurs on average once in 2 years - Equivalent to precipitation intensity index,I24H2Y,inches,1.35
10322,6 Hour 100 Year Precipitation,6-hour precipitation that is expected to occur on average once in 100 years,I6H100Y,inches,1.91
10322,6 Hour 2 Year Precipitation,Maximum 6-hour precipitation that occurs on average once in 2 years,I6H2Y,inches,0.84
10322,Latitude of Basin Outlet,Latitude of Basin Outlet,LAT_OUT,degrees,38.437191
10322,LC11BARE,Percentage of barren from NLCD 2011 class 31,LC11BARE,percent,1.7
10322,Percent_Crops_and_Hay_from_NLCD2011,"Percentage of cultivated crops and hay, classes 81 and 82, from NLCD 2011",LC11CRPHAY,percent,0.9
10322,Percent Developed from NLCD2011,Percentage of developed (urban) land from NLCD 2011 classes 21-24,LC11DEV,percent,0.3
