SiteID,ParamName,variable,ParamDescription,value,ParamGroup
10118,December Mean Flow,Q12,Mean December Flow,7.21,Monthly Flow Statistics
10118,February Mean Flow,Q2,Mean February Flow,5.79,Monthly Flow Statistics
10118,January Mean Flow,Q1,Mean January Flow,6.44,Monthly Flow Statistics
10118,July Mean Flow,Q7,Mean July Flow,87.4,Monthly Flow Statistics
10118,June Mean Flow,Q6,Mean June Flow,176,Monthly Flow Statistics
10118,March Mean Flow,Q3,Mean March Flow,6.24,Monthly Flow Statistics
10118,May Mean Flow,Q5,Mean May Flow,89.3,Monthly Flow Statistics
10118,November Mean Flow,Q11,Mean November Flow,10.6,Monthly Flow Statistics
10118,October Mean Flow,Q10,Mean October Flow,15.7,Monthly Flow Statistics
10118,September Mean Flow,Q9,Mean September Flow,18.3,Monthly Flow Statistics
10231,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,731,Peak-Flow Statistics
10231,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,1180,Peak-Flow Statistics
10231,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,410,Peak-Flow Statistics
10231,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,1290,Peak-Flow Statistics
10231,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,860,Peak-Flow Statistics
10231,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,596,Peak-Flow Statistics
10231,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,1040,Peak-Flow Statistics
10231,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,1500,Peak-Flow Statistics
10231,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,540,Flood-Volume Statistics
10231,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,299,Flood-Volume Statistics
10231,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,766,Flood-Volume Statistics
10231,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,3.82,Low-Flow Statistics
10231,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,7.36,Low-Flow Statistics
10231,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,3.79,Low-Flow Statistics
10231,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,143,Flow-Duration Statistics
10231,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,45.8,Flow-Duration Statistics
10231,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,19,Flow-Duration Statistics
10231,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,11.3,Flow-Duration Statistics
10231,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,7.62,Flow-Duration Statistics
10231,Mean Annual Flow,QA,Mean Annual Flow,58.2,Annual Flow Statistics
10231,April Mean Flow,Q4,Mean April Flow,34.6,Monthly Flow Statistics
10231,August Mean Flow,Q8,Mean August Flow,36.4,Monthly Flow Statistics
10231,December Mean Flow,Q12,Mean December Flow,14.1,Monthly Flow Statistics
10231,February Mean Flow,Q2,Mean February Flow,12.2,Monthly Flow Statistics
10231,January Mean Flow,Q1,Mean January Flow,13,Monthly Flow Statistics
10231,July Mean Flow,Q7,Mean July Flow,81.4,Monthly Flow Statistics
10231,June Mean Flow,Q6,Mean June Flow,255,Monthly Flow Statistics
10231,March Mean Flow,Q3,Mean March Flow,14.5,Monthly Flow Statistics
10231,May Mean Flow,Q5,Mean May Flow,167,Monthly Flow Statistics
10231,November Mean Flow,Q11,Mean November Flow,16.9,Monthly Flow Statistics
10231,October Mean Flow,Q10,Mean October Flow,21.5,Monthly Flow Statistics
10231,September Mean Flow,Q9,Mean September Flow,25.2,Monthly Flow Statistics
10232,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,143,Peak-Flow Statistics
10232,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,268,Peak-Flow Statistics
10232,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,68,Peak-Flow Statistics
10232,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,307,Peak-Flow Statistics
10232,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,180,Peak-Flow Statistics
10232,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,110,Peak-Flow Statistics
10232,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,226,Peak-Flow Statistics
10232,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,371,Peak-Flow Statistics
10232,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,103,Flood-Volume Statistics
10232,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,53.1,Flood-Volume Statistics
10232,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,157,Flood-Volume Statistics
10232,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,0.173,Low-Flow Statistics
10232,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,0.601,Low-Flow Statistics
10232,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,0.312,Low-Flow Statistics
10232,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,22.2,Flow-Duration Statistics
10232,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,7.25,Flow-Duration Statistics
10232,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,3.42,Flow-Duration Statistics
10232,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,2.03,Flow-Duration Statistics
10232,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,1.14,Flow-Duration Statistics
10232,Mean Annual Flow,QA,Mean Annual Flow,11,Annual Flow Statistics
10232,April Mean Flow,Q4,Mean April Flow,4.86,Monthly Flow Statistics
10232,August Mean Flow,Q8,Mean August Flow,6.62,Monthly Flow Statistics
10232,December Mean Flow,Q12,Mean December Flow,2.45,Monthly Flow Statistics
10232,February Mean Flow,Q2,Mean February Flow,2.11,Monthly Flow Statistics
10232,January Mean Flow,Q1,Mean January Flow,2.19,Monthly Flow Statistics
10232,July Mean Flow,Q7,Mean July Flow,13.4,Monthly Flow Statistics
10232,June Mean Flow,Q6,Mean June Flow,55.1,Monthly Flow Statistics
10232,March Mean Flow,Q3,Mean March Flow,2.42,Monthly Flow Statistics
10232,May Mean Flow,Q5,Mean May Flow,32,Monthly Flow Statistics
10232,November Mean Flow,Q11,Mean November Flow,2.74,Monthly Flow Statistics
10232,October Mean Flow,Q10,Mean October Flow,3.3,Monthly Flow Statistics
10232,September Mean Flow,Q9,Mean September Flow,4.32,Monthly Flow Statistics
10240,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,2840,Peak-Flow Statistics
10240,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,4230,Peak-Flow Statistics
10240,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,1720,Peak-Flow Statistics
10240,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,4580,Peak-Flow Statistics
10240,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,3200,Peak-Flow Statistics
10240,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,2380,Peak-Flow Statistics
10240,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,3810,Peak-Flow Statistics
10240,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,5200,Peak-Flow Statistics
10240,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,2250,Flood-Volume Statistics
10240,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,1250,Flood-Volume Statistics
10240,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,3110,Flood-Volume Statistics
10240,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,36.9,Low-Flow Statistics
10240,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,53.5,Low-Flow Statistics
10240,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,28.8,Low-Flow Statistics
10240,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,670,Flow-Duration Statistics
10240,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,227,Flow-Duration Statistics
10240,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,91.5,Flow-Duration Statistics
10240,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,56.2,Flow-Duration Statistics
10240,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,44,Flow-Duration Statistics
10240,Mean Annual Flow,QA,Mean Annual Flow,251,Annual Flow Statistics
10240,April Mean Flow,Q4,Mean April Flow,213,Monthly Flow Statistics
10240,August Mean Flow,Q8,Mean August Flow,155,Monthly Flow Statistics
10240,December Mean Flow,Q12,Mean December Flow,70.1,Monthly Flow Statistics
10240,February Mean Flow,Q2,Mean February Flow,61.9,Monthly Flow Statistics
10240,January Mean Flow,Q1,Mean January Flow,66.3,Monthly Flow Statistics
10240,July Mean Flow,Q7,Mean July Flow,356,Monthly Flow Statistics
10240,June Mean Flow,Q6,Mean June Flow,985,Monthly Flow Statistics
10240,March Mean Flow,Q3,Mean March Flow,77.1,Monthly Flow Statistics
10240,May Mean Flow,Q5,Mean May Flow,754,Monthly Flow Statistics
10240,November Mean Flow,Q11,Mean November Flow,84.5,Monthly Flow Statistics
10240,October Mean Flow,Q10,Mean October Flow,109,Monthly Flow Statistics
10240,September Mean Flow,Q9,Mean September Flow,117,Monthly Flow Statistics
10267A,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,202,Peak-Flow Statistics
10267A,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,314,Peak-Flow Statistics
10267A,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,123,Peak-Flow Statistics
10267A,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,337,Peak-Flow Statistics
10267A,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,243,Peak-Flow Statistics
10267A,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,172,Peak-Flow Statistics
10267A,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,287,Peak-Flow Statistics
10267A,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,394,Peak-Flow Statistics
10267A,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,116,Flood-Volume Statistics
10267A,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,73.3,Flood-Volume Statistics
10267A,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,157,Flood-Volume Statistics
10267A,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,0.546,Low-Flow Statistics
10267A,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,0.94,Low-Flow Statistics
10267A,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,0.46,Low-Flow Statistics
10267A,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,30.8,Flow-Duration Statistics
10267A,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,7.88,Flow-Duration Statistics
10267A,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,2.85,Flow-Duration Statistics
10267A,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,1.55,Flow-Duration Statistics
10267A,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,0.887,Flow-Duration Statistics
10267A,Mean Annual Flow,QA,Mean Annual Flow,11.5,Annual Flow Statistics
10267A,April Mean Flow,Q4,Mean April Flow,3.72,Monthly Flow Statistics
10267A,August Mean Flow,Q8,Mean August Flow,8.03,Monthly Flow Statistics
10267A,December Mean Flow,Q12,Mean December Flow,2.03,Monthly Flow Statistics
10267A,February Mean Flow,Q2,Mean February Flow,1.66,Monthly Flow Statistics
10267A,January Mean Flow,Q1,Mean January Flow,1.79,Monthly Flow Statistics
10267A,July Mean Flow,Q7,Mean July Flow,19.7,Monthly Flow Statistics
10267A,June Mean Flow,Q6,Mean June Flow,55.2,Monthly Flow Statistics
10267A,March Mean Flow,Q3,Mean March Flow,1.78,Monthly Flow Statistics
10267A,May Mean Flow,Q5,Mean May Flow,27,Monthly Flow Statistics
10267A,November Mean Flow,Q11,Mean November Flow,2.69,Monthly Flow Statistics
10267A,October Mean Flow,Q10,Mean October Flow,3.67,Monthly Flow Statistics
10267A,September Mean Flow,Q9,Mean September Flow,4.68,Monthly Flow Statistics
10268B,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,193,Peak-Flow Statistics
10268B,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,292,Peak-Flow Statistics
10268B,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,120,Peak-Flow Statistics
10268B,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,312,Peak-Flow Statistics
10268B,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,227,Peak-Flow Statistics
10268B,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,165,Peak-Flow Statistics
10268B,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,267,Peak-Flow Statistics
10268B,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,358,Peak-Flow Statistics
10268B,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,117,Flood-Volume Statistics
10268B,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,76.5,Flood-Volume Statistics
10268B,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,156,Flood-Volume Statistics
10268B,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,0.376,Low-Flow Statistics
10268B,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,0.644,Low-Flow Statistics
10268B,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,0.37,Low-Flow Statistics
10268B,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,32.2,Flow-Duration Statistics
10268B,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,7.92,Flow-Duration Statistics
10268B,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,2.74,Flow-Duration Statistics
10268B,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,1.48,Flow-Duration Statistics
10268B,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,0.846,Flow-Duration Statistics
10268B,Mean Annual Flow,QA,Mean Annual Flow,11.5,Annual Flow Statistics
10268B,April Mean Flow,Q4,Mean April Flow,3.54,Monthly Flow Statistics
10268B,August Mean Flow,Q8,Mean August Flow,8.21,Monthly Flow Statistics
10268B,December Mean Flow,Q12,Mean December Flow,1.96,Monthly Flow Statistics
10268B,February Mean Flow,Q2,Mean February Flow,1.58,Monthly Flow Statistics
10268B,January Mean Flow,Q1,Mean January Flow,1.72,Monthly Flow Statistics
10268B,July Mean Flow,Q7,Mean July Flow,20.8,Monthly Flow Statistics
10268B,June Mean Flow,Q6,Mean June Flow,54.9,Monthly Flow Statistics
10268B,March Mean Flow,Q3,Mean March Flow,1.68,Monthly Flow Statistics
10268B,May Mean Flow,Q5,Mean May Flow,26.1,Monthly Flow Statistics
10268B,November Mean Flow,Q11,Mean November Flow,2.66,Monthly Flow Statistics
10268B,October Mean Flow,Q10,Mean October Flow,3.7,Monthly Flow Statistics
10268B,September Mean Flow,Q9,Mean September Flow,4.7,Monthly Flow Statistics
10283,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,1310,Peak-Flow Statistics
10283,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,2040,Peak-Flow Statistics
10283,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,758,Peak-Flow Statistics
10283,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,2230,Peak-Flow Statistics
10283,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,1510,Peak-Flow Statistics
10283,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,1080,Peak-Flow Statistics
10283,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,1810,Peak-Flow Statistics
10283,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,2550,Peak-Flow Statistics
10283,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,1030,Flood-Volume Statistics
10283,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,569,Flood-Volume Statistics
10283,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,1440,Flood-Volume Statistics
10283,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,15.3,Low-Flow Statistics
10283,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,24.2,Low-Flow Statistics
10283,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,11.3,Low-Flow Statistics
10283,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,287,Flow-Duration Statistics
10283,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,94.1,Flow-Duration Statistics
10283,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,38.6,Flow-Duration Statistics
10283,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,23.3,Flow-Duration Statistics
10283,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,16.8,Flow-Duration Statistics
10283,Mean Annual Flow,QA,Mean Annual Flow,112,Annual Flow Statistics
10283,April Mean Flow,Q4,Mean April Flow,78.3,Monthly Flow Statistics
10283,August Mean Flow,Q8,Mean August Flow,69.8,Monthly Flow Statistics
10283,December Mean Flow,Q12,Mean December Flow,29,Monthly Flow Statistics
10283,February Mean Flow,Q2,Mean February Flow,25.3,Monthly Flow Statistics
10283,January Mean Flow,Q1,Mean January Flow,27,Monthly Flow Statistics
10283,July Mean Flow,Q7,Mean July Flow,158,Monthly Flow Statistics
10283,June Mean Flow,Q6,Mean June Flow,469,Monthly Flow Statistics
10283,March Mean Flow,Q3,Mean March Flow,30.7,Monthly Flow Statistics
10283,May Mean Flow,Q5,Mean May Flow,329,Monthly Flow Statistics
10283,November Mean Flow,Q11,Mean November Flow,34.9,Monthly Flow Statistics
10283,October Mean Flow,Q10,Mean October Flow,44.7,Monthly Flow Statistics
10283,September Mean Flow,Q9,Mean September Flow,50.4,Monthly Flow Statistics
10322,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,1430,Peak-Flow Statistics
10322,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,2410,Peak-Flow Statistics
10322,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,739,Peak-Flow Statistics
10322,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,2720,Peak-Flow Statistics
10322,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,1670,Peak-Flow Statistics
10322,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,1120,Peak-Flow Statistics
10322,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,2070,Peak-Flow Statistics
10322,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,3160,Peak-Flow Statistics
10322,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,1240,Flood-Volume Statistics
10322,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,615,Flood-Volume Statistics
10322,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,1830,Flood-Volume Statistics
10322,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,10.7,Low-Flow Statistics
10322,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,23.9,Low-Flow Statistics
10322,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,12.2,Low-Flow Statistics
10322,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,315,Flow-Duration Statistics
10322,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,119,Flow-Duration Statistics
10322,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,55.7,Flow-Duration Statistics
10322,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,35.3,Flow-Duration Statistics
10322,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,25.9,Flow-Duration Statistics
10322,Mean Annual Flow,QA,Mean Annual Flow,141,Annual Flow Statistics
10322,April Mean Flow,Q4,Mean April Flow,123,Monthly Flow Statistics
10322,August Mean Flow,Q8,Mean August Flow,81,Monthly Flow Statistics
10322,December Mean Flow,Q12,Mean December Flow,42.2,Monthly Flow Statistics
10322,February Mean Flow,Q2,Mean February Flow,38,Monthly Flow Statistics
10322,January Mean Flow,Q1,Mean January Flow,39.8,Monthly Flow Statistics
10322,July Mean Flow,Q7,Mean July Flow,167,Monthly Flow Statistics
10322,June Mean Flow,Q6,Mean June Flow,591,Monthly Flow Statistics
10322,March Mean Flow,Q3,Mean March Flow,48.1,Monthly Flow Statistics
10322,May Mean Flow,Q5,Mean May Flow,466,Monthly Flow Statistics
10322,November Mean Flow,Q11,Mean November Flow,46.5,Monthly Flow Statistics
10322,October Mean Flow,Q10,Mean October Flow,55.9,Monthly Flow Statistics
10322,September Mean Flow,Q9,Mean September Flow,63,Monthly Flow Statistics
10324,10 Year Peak Flood,PK10,Maximum instantaneous flow that occurs on average once in 10 years,955,Peak-Flow Statistics
10324,100 Year Peak Flood,PK100,Maximum instantaneous flow that occurs on average once in 100 years,1560,Peak-Flow Statistics
10324,2 Year Peak Flood,PK2,Maximum instantaneous flow that occurs on average once in 2 years,519,Peak-Flow Statistics
10324,200 Year Peak Flood,PK200,Maximum instantaneous flow that occurs on average once in 200 years,1730,Peak-Flow Statistics
10324,25 Year Peak Flood,PK25,Maximum instantaneous flow that occurs on average once in 25 years,1110,Peak-Flow Statistics
10324,5 Year Peak Flood,PK5,Maximum instantaneous flow that occurs on average once in 5 years,766,Peak-Flow Statistics
10324,50 Year Peak Flood,PK50,Maximum instantaneous flow that occurs on average once in 50 years,1360,Peak-Flow Statistics
10324,500 Year Peak Flood,PK500,Maximum instantaneous flow that occurs on average once in 500 years,2000,Peak-Flow Statistics
10324,7 Day 10 Year Maximum,V7D10Y,7-Day mean maximum flow that occurs on average once in 10 years,774,Flood-Volume Statistics
10324,7 Day 2 Year Maximum,V7D2Y,7-Day mean maximum flow that occurs on average once in 2 years,412,Flood-Volume Statistics
10324,7 Day 50 Year Maximum,V7D50Y,7-Day mean maximum flow that occurs on average once in 50 years,1110,Flood-Volume Statistics
10324,7 Day 10 Year Low Flow,M7D10Y,7-Day mean low-flow that occurs on average once in 10 years,7.55,Low-Flow Statistics
10324,7 Day 2 Year Low Flow,M7D2Y,7-Day mean low-flow that occurs on average once in 2 years,14.5,Low-Flow Statistics
10324,7 Day 50 Year Low Flow,M7D50Y,7-Day mean low-flow that occurs on average once in 50 years,6.99,Low-Flow Statistics
10324,10 Percent Duration,D10,Streamflow exceeded 10 percent of the time,203,Flow-Duration Statistics
10324,25 Percent Duration,D25,Streamflow exceeded 25 percent of the time,69.2,Flow-Duration Statistics
10324,50 Percent Duration,D50,Streamflow exceeded 50 percent of the time,30,Flow-Duration Statistics
10324,75 Percent Duration,D75,Streamflow exceeded 75 percent of the time,18.3,Flow-Duration Statistics
10324,90 Percent Duration,D90,Streamflow exceeded 90 percent of the time,12.8,Flow-Duration Statistics
10324,Mean Annual Flow,QA,Mean Annual Flow,85.3,Annual Flow Statistics
10324,April Mean Flow,Q4,Mean April Flow,59.1,Monthly Flow Statistics
10324,August Mean Flow,Q8,Mean August Flow,51.7,Monthly Flow Statistics
10324,December Mean Flow,Q12,Mean December Flow,22.4,Monthly Flow Statistics
10324,February Mean Flow,Q2,Mean February Flow,19.7,Monthly Flow Statistics
