Rack,Group,Chla (mg/m2)
13,P,19.99618335
13,NP,56.9382848
13,N,56.9382848
13,P,23.04644861
13,C,26.09671387
13,N,76.59554979
13,P,6.778367238
13,NP,66.76691729
13,P,19.31834663
13,C,29.48589748
13,C,28.80806076
13,NP,56.9382848
21,P,14.2345712
21,NP,84.72959047
21,P,12.53997939
21,NP,56.26044807
21,N,65.75016221
21,C,16.26808137
21,C,13.89565284
21,P,9.150795771
21,P,14.57348956
21,NP,59.64963169
21,NP,55.65039502
21,N,59.98855006
21,C,14.57348956
21,N,83.03499866
21,C,15.92916301
21,C,18.30159154
21,NP,77.27338651
21,N,71.85069272
21,P,10.50646922
21,N,79.64581505
20,NP,88.11877409
20,P,21.3518568
20,P,20.67402008
20,N,101.6755086
20,P,18.30159154
20,C,30.84157093
20,C,29.14697912
20,P,13.55673448
20,C,33.21399947
20,NP,99.98091676
20,N,84.72959047
20,C,16.60699973
20,N,88.11877409
20,N,96.59173314
20,NP,20.67402008
20,N,72.86744781
20,NP,94.89714133
20,C,37.28101981
20,P,19.65726499
20,NP,108.4538758
18,P,16.26808137
18,P,14.57348956
18,P,17.62375482
18,P,10.16755086
18,N,54.90477463
18,N,19.99618335
18,N,18.97942827
18,NP,21.3518568
18,NP,30.50265257
18,NP,16.94591809
18,NP,7.1172856
18,C,13.55673448
18,C,11.5232243
18,C,10.50646922
18,P,5.083775428
18,N,17.96267318
18,NP,7.1172856
18,N,16.60699973
18,C,7.1172856
18,C,8.134040685
17,C,19.31834663
17,N,42.7037136
17,C,10.16755086
17,C,17.62375482
17,P,11.18430594
17,N,39.65344834
17,N,55.58261135
17,P,10.16755086
17,P,15.59024465
17,P,13.21781611
17,NP,31.85832602
17,C,15.25132629
17,P,15.59024465
17,C,19.99618335
17,C,17.28483646
17,NP,20.33510171
17,N,24.74104042
17,P,14.2345712
17,N,28.4691424
